Date;PAYEMS;PMI;MICH;ADS;USREC
01.01.1978;0,21775;57,4;83,7;-0,411087924;0
01.02.1978;0,4176;55,9;84,3;1,270519628;0
01.03.1978;0,60091;55;78,8;2,626087173;0
01.04.1978;0,81808;57,7;81,6;2,340042447;0
01.05.1978;0,40192;60,2;82,9;1,325303954;0
01.06.1978;0,50848;60,5;80;0,753470757;0
01.07.1978;0,2917;62,2;82,4;0,342439124;0
01.08.1978;0,31943;60,3;78,4;0,414663652;0
01.09.1978;0,15762;60,5;80,4;0,553375729;0
01.10.1978;0,3816;60,1;79,3;0,987345508;0
01.11.1978;0,49335;61,3;75;0,783143653;0
01.12.1978;0,31627;59,4;66,1;0,014435362;0
01.01.1979;0,15438;58,5;72,1;-0,22979351;0
01.02.1979;0,27774;58,2;73,9;0,32375149;0
01.03.1979;0,47498;57,7;68,4;-0,502385973;0
01.04.1979;-0,06931;56,2;66;-0,553463947;0
01.05.1979;0,41517;54,4;68,1;0,182102361;0
01.06.1979;0,35465;52,7;65,8;-0,245697119;0
01.07.1979;0,12089;51,3;60,4;-0,579117855;0
01.08.1979;0,09196;49,5;64,5;-0,590103551;0
01.09.1979;0,0299;49,6;66,7;-0,344501643;0
01.10.1979;0,17035;49;62,1;-0,236724935;0
01.11.1979;0,10163;48;63,3;-0,343641859;0
01.12.1979;0,10924;44,8;61;-0,136193201;0
01.01.1980;0,14107;46,2;67;-0,308970784;0
01.02.1980;0,09137;50,2;66,9;-0,93842738;1
01.03.1980;0,12206;43,6;56,5;-2,225099022;1
01.04.1980;-0,15948;37,4;52,7;-3,451104419;1
01.05.1980;-0,47333;29,4;51,7;-3,212303466;1
01.06.1980;-0,35342;30,3;58,7;-2,153488146;1
01.07.1980;-0,2901;35;62,3;-0,810662708;1
01.08.1980;0,28788;45,5;67,3;0,58174889;0
01.09.1980;0,12645;50,1;73,7;1,357385081;0
01.10.1980;0,30658;55,5;75;1,58781534;0
01.11.1980;0,28361;58,2;76,7;1,046401764;0
01.12.1980;0,21575;53;64,5;0,177672792;0
01.01.1981;0,09891;49,2;71,4;-0,401104526;0
01.02.1981;0,07906;48,8;66,9;-0,288252315;0
01.03.1981;0,11519;49,6;66,5;-0,397561678;0
01.04.1981;0,08;51,6;72,4;-0,640436755;0
01.05.1981;0,01424;53,5;76,3;-0,236541371;0
01.06.1981;0,21227;50,7;73,1;0,186146966;0
01.07.1981;0,12125;46,7;74,1;-0,040351217;0
01.08.1981;-0,03931;48,3;77,2;-0,811697748;1
01.09.1981;-0,09615;42,5;73,1;-1,447851272;1
01.10.1981;-0,10609;40;70,3;-1,965021632;1
01.11.1981;-0,22898;36,1;62,5;-2,344995957;1
01.12.1981;-0,30319;37,8;64,3;-2,5174352;1
01.01.1982;-0,36372;38,2;71;-1,560438518;1
01.02.1982;-0,00221;38,3;66,5;-0,776791622;1
01.03.1982;-0,14254;36,8;62;-1,476567537;1
01.04.1982;-0,31454;37,8;65,5;-1,362685504;1
01.05.1982;-0,04771;35,5;67,5;-1,395890305;1
01.06.1982;-0,26893;38,3;65,7;-1,673073881;1
01.07.1982;-0,38353;38,4;65,4;-1,786889981;1
01.08.1982;-0,17665;38,3;65,4;-1,628295329;1
01.09.1982;-0,20163;38,8;69,3;-1,673893736;1
01.10.1982;-0,30996;39,4;73,4;-1,485008782;1
